Date,InFlow(cfs),Precipitation(in),Year
12/1/2013,24423,2.55,2013
11/1/2013,57300,4.43,2013
10/1/2013,20522,4.31,2013
9/1/2013,9656,4.87,2013
8/1/2013,8524,1.94,2013
7/1/2013,47028,7.12,2013
6/1/2013,50138,7.96,2013
5/1/2013,31086,3.93,2013
4/1/2013,76682,3.74,2013
3/1/2013,17819,1.01,2013
2/1/2013,18689,1.72,2013
1/1/2013,21230,1.81,2013
12/1/2012,36720,5.64,2012
11/1/2012,12297,1.36,2012
10/1/2012,27382,3.82,2012
9/1/2012,6296,3.39,2012
8/1/2012,6206,2.7,2012
7/1/2012,5647,0.09,2012
6/1/2012,17199,3.07,2012
5/1/2012,39887,5.3,2012
4/1/2012,25606,2.09,2012
3/1/2012,61897,2.2,2012
2/1/2012,15901,1.07,2012
1/1/2012,29209,2.89,2012
